,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Ground Service,Inflight Entertainment,Wifi and Connectivity,Value For Money,Recommended,origin,destination,Index
85718,American Airlines,1,"""frustration and disappointment""",2023-08-07,False," This is a long story but maybe others have had similar travel nightmares and can relate to my frustration and disappointment with American Airlines. We flew home from Cayman Islands Monday, June 26 and landed around 3:30pm in Charlotte, North Carolina. Our flight home wasn't scheduled to depart until 10:30pm, but instead was delayed several times and ultimately canceled because of a potential thunderstorm. We were stranded at the airport with no transportation, and ended up staying in a filthy hotel just to have a place to sleep for the night. Our flight was rescheduled at American Airline's earliest convenience, which wasn't until FRIDAY. They would not offer any accommodations for us if we ended up staying. We ended up paying close to $3000 for a flight from Charlotte to Cleveland, and rented a car to get home. Altogether with the hotel, flight, food, and car rental we paid close to $3600 just to get home. I'm very disappointed in American Airlines and the way they are handling this situation. I can't help but think of the money they can make off of people desperately trying to get home.",,Family Leisure,Business Class,Grand Rapids to Grand Cayman via Charlotte,June 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,GrandRapids,GrandCaymanviaCharlotte,94210
72882,British Airways,9,"""Economy seats are small""",2017-09-22,False,"  Kuala Lumpur to Berlin via London. Aircraft long haul new and clean, short haul a bit old, but still acceptable. Crew overall are lovely, pleasant service. BA food is on the top of the rank. Kuala Lumpur to London My boyfriend and I got beef stew and chicken satay as dinner and beef omelette as breakfast. Also very tasty. We got 2 wines and so many juices. Return flight was chicken curry and pesto pasta. Again, it flavorful. And we got beef congee and Engliah breakfast before we landed. Short hauls don't have any food. Inflight entertainment not the best, but still acceptable. Short hauls don't have any screens. Only thing I don't like is the seats. Economy seats are small. I have no problem with it since I am a petite girl, but still very uncomfortable to sit straight up. If I knew before, I will book a premium economy, that one seems nicer and have more space. I got the best price for round trip, value for money!",,Couple Leisure,Economy Class,Kuala Lumpur to Berlin via London,September 2017,2.0,5.0,5.0,4.0,3.0,,5.0,yes,KualaLumpur,BerlinviaLondon,80162
45818,Korean Air,8,"""above average legroom""",2023-09-25,True," Very satisfied with the overall experience. Airfares include checked baggage, which makes the cost of flying direct only marginally more expensive than flying via a hub in continental Europe or the Middle East. Ground and in-flight service good. Food reasonably good, but how can Korean Air run out of Bibimbap? The above average legroom of 84cm in Economy is much appreciated by this 185cm tall man, so much more comfortable than Lufthansa's pathetic 79cm. But I hate reclining seats and feel they should be banned by IATA.",,Couple Leisure,Economy Class,Seoul Incheon to London Heathrow,September 2023,4.0,4.0,4.0,4.0,4.0,,4.0,yes,SeoulIncheon,LondonHeathrow,50336
71150,Bangkok Airways,1,Bangkok Airways customer review,2011-07-11,False,Laung Prabang-Bangkok. At first I was a bit apprehensive about flying on a local Asian airline. I soon discovered that the service and standard were far superior to most European short haul airlines. The flight departed and arrived on time in difficult conditions. Access to the airport lounge in Luang Prabang was included. The lounge was quite basic but appreciated with a free snack and refreshment. The in flight cabin on the ATR72 was quiet small but comfortable. The food served on board was excellent. I highly recommend this airline.,,,Economy Class,,,,,,,,,,no,,,78239
20610,Singapore Airlines,9,"""cabin crew is nice""",2020-03-07,True,"  Bangkok to Makassar via Singapore. Bangkok check-in counter is great. The cabin crew called Hendricks is Nice, warm hospitality, very welcome. I hope to see him again in my other flight. Another cabin crew is also nice. The in-flight meal is good. Singapore - Makassar : The cabin crew is nice, The in-flight meal is terrible. Delayed Boarding time due to late opening security check and only opening 1.",Boeing 777-200 / A320-200,Family Leisure,Economy Class,Bangkok to Makassar via Singapore,February 2020,4.0,5.0,4.0,5.0,4.0,,5.0,yes,Bangkok,MakassarviaSingapore,22616
57640,Hawaiian Airlines,6,Hawaiian Airlines customer review,2010-07-11,False,LAX-HNL-KOA return First Class. LAX Premier Club Lounge very small and basic with limited food and drink options. Transpacific flights on new A330 but old style reclining seats with a footrests a big let-down. IFE screen and choices very good. Catering quite tasty for domestic first class though quality was much higher out of LAX than HNL. Flight attendants professional and attentive. Inter-island first class is not value unless you're on a through fare. HNL airport is in serious need of a make-over - old poorly run counter-intuitive muted staff and barebones lounges. For a US carrier HA is not a bad operation but not all that special in any way either.,,,First Class,,,,,,,,,1.0,yes,,,63369
46841,Lion Air,2,"""cheap but not worth it""",2017-09-27,False," Lion Air is the worst airline in Indonesia. I've had this flight from Jambi to Jakarta (JT 607) delayed over 3 hours in which cancelled all my activities. The flight is scheduled for 6 a.m however until 9 a.m there is no reasonable explanation when the flight will be departed. The only reason is the flight is postponed due to the bad weather. However, at the same time, several airlines has departed with the same weather condition. My advice for this airline - avoid it, the ticket was cheap but it is not worth it.",,Business,Economy Class,Jambi to Jakarta,September 2017,1.0,1.0,,2.0,,,1.0,no,Jambi,Jakarta,51480
68027,Etihad Airways,1,Etihad Airways customer review,2018-04-06,True,  Sydney to Abu Dhabi. Excellent from beginning to end. Seats  spacious with lots if room. Flight staff were  incredible and could not do enough. In-flight entertainment was good and the food lovely. You can now adjust the hardness of your seat which is great when turning it into a flatbed.,,Couple Leisure,Business Class,Sydney to Abu Dhabi,March 2018,5.0,5.0,5.0,5.0,5.0,4.0,5.0,yes,Sydney,AbuDhabi,74786
44890,KLM Royal Dutch Airlines,9,"""impressed by the service""",2019-07-18,True,"  Rome to Buenos Aires via Amsterdam. I was impressed by the service, quality of the aircraft, cleanliness and food. There was just an hour and 15 minutes transit time in Amsterdam but in fact due to a delay leaving from Rome the transit time was reduced to only 40 minutes. Despite this I made it to my flight and even my suitcase made it to Buenos Aires as normal which was a pleasant surprise.",,Solo Leisure,Economy Class,Rome to Buenos Aires via Amsterdam ,May 2019,4.0,5.0,5.0,5.0,4.0,,5.0,yes,Rome,BuenosAiresviaAmsterdam,49304
35480,Qatar Airways,8,"""friendly service minded cabin crew""",2022-10-20,True,"  Excellent service by a friendly service minded cabin crew. Old plane upgraded with Qsuites. Still hard uncomfortable seats but nice with the privacy. Light meal after take-off but when ordering the burgers were already ""sold out"". Left with soggy fish and chips that went back to the galley.",Boeing 777-300ER,Solo Leisure,Business Class,Doha to Denpasar,October 2022,2.0,5.0,3.0,5.0,5.0,3.0,4.0,yes,Doha,Denpasar,38974
15435,United Airlines,1,"""customer service was incredible""",2022-09-12,True,"  United customer service was incredible. We had a flight booked from Athens to Phoenix with Lufthansa, with the last part of the flight, Chicago to Phoenix, being in correspondence with United. Lufthansa had a delay arriving to Chicago, where we had to go through customs, and as a result we lost our last flight to Phoenix. United rebooked our flight with zero charge, offered us a comfort gift of water bottle, tooth brush etc, blankets and a couched area to spend the night, found our lost luggage and changed our seats according to our preference as my fiancee is over 6 ft tall. It doesn't sound like a lot but when you have been traveling in an airplane the whole day and something like losing your last flight happens, offering some comfort really counts, considering it wasn't even their fault. ",,Couple Leisure,Economy Class,Chicago to Phoenix,September 2022,3.0,5.0,,5.0,,,5.0,yes,Chicago,Phoenix,16955
79738,Air New Zealand,9,Air New Zealand customer review,2014-01-09,False,Two trips AKL-CHC-AKL and one AKL-WLG-AKL in the last three weeks. I'm pleased that they've gone back to the Lord of the Rings safety video - grabs your attention much better than any other I've seen in recent years. Information from flight deck good apart from one sector where the First Officer seemed to be whispering. No problems with the flights themselves - my only grizzle is about the automated check-in machines. On two of my Christchurch legs the machine wouldn't print a bag tag so I had to join the long queue to get one from the manned counter. There also seemed to be some in both Auckland and Christchurch that weren't working.,,,Economy Class,,,4.0,5.0,0.0,,0.0,,4.0,yes,,,87668
3687,TAP Portugal,1,"""almost 3 hours delayed""",2018-08-06,True,"  Lisbon to Copenhagen. Flight is almost 3 hours delayed. The notice was first sent 1 hour before departure. Extremely long waiting time in the plane before take of and after landing. Spent more than 5 hours in the plane in stead of 3,5. The worst part that the seats were very small and without an option to lean them back.",,Solo Leisure,Economy Class,Lisbon to Copenhagen,August 2018,1.0,2.0,3.0,2.0,1.0,1.0,1.0,no,Lisbon,Copenhagen,4042
23928,SpiceJet,1,"""Worst experience every time""",2022-05-25,True,"  Worst experience every time. No time sense. Keeps getting delayed or cancelled. Not recommended. Staff, very rude and irresponsible. Do not help you out when the mistake is on their side.",,Business,Economy Class,Bengaluru to New Delhi,May 2022,1.0,1.0,,1.0,,,1.0,no,Bengaluru,NewDelhi,26271
35033,Qantas Airways,9,Qantas Airways customer review,2014-01-31,False,SYD-SCL business class 747 with new seating arrangement with seats designed for the A380. Had an emergency exit row window seat upstairs which seemed to me to be the best on the aircraft. Ample storage space around the seat. The only drawbacks of the new layout are that you need to climb over your neighbour to get out at night from the other window seats and the overall metallic grey colour scheme is decidedly dismal and depressing. The flight was punctual and the cabin service of a very high standard indeed. Lunch was excellent with even a desert wine available. An excellent flight overall.,,,Business Class,,,4.0,5.0,5.0,,5.0,,4.0,yes,,,38479
12753,Turkish Airlines,1,"""don't honor the seats you pay for""",2023-08-04,True," Worst airline experience ever. Always delayed, don't rearrange flights until you land, and may not offer a next flight, can be delayed several days. Customer service is poor, staff barely speak English and have poor manners. Istanbul airport is a mess, staff don't speak English, huge airport that is difficult to navigate. They don't honor the seats you pay for on the airplane. Never flying again.",,Business,Economy Class,Los Angeles to Beirut via Istanbul,July 2023,2.0,4.0,5.0,1.0,5.0,5.0,1.0,no,LosAngeles,BeirutviaIstanbul,13985
76974,China Southern Airlines,9,"""I had a positive experience""",2023-03-16,True,"  I was impressed with their flight service. The flight attendants were friendly and attentive, the meals were delicious and there was a good variety of options to choose from. The entertainment system was also top-notch, with a great selection of movies and TV shows. I had a positive experience flying with China Southern Airlines and would recommend them to others.",,Solo Leisure,Economy Class,Guangzhou to Sydney,February 2023,5.0,5.0,5.0,5.0,5.0,,5.0,yes,Guangzhou,Sydney,84646
34913,Qantas Airways,1,Qantas Airways customer review,2014-07-17,False,I recently flew to LA from Melbourne on an A380 and the entire experience was wonderful. The sale price of the ticket was great and then the flight was even better. Helpful staff excellent and piping hot food as well as heaps of movies and TV shows made the entire flight a joy. I could not recommend them more highly! The only thing that was a little bit annoying was the default radio channel that plays while you select your viewing options was playing hideous old aussie songs which got a bit irritating after 13 hours.,,,Economy Class,,,5.0,5.0,5.0,,5.0,,5.0,yes,,,38351
3832,TAP Portugal,1,"""cancelled with no notification""",2017-09-06,False,"  Prague to Lisbon. TAP cancelled our 6:45am 4 September flight TP1307 from Prague to Lisbon overnight with no notification, meaning most passengers arrived at the airport around 5am and then had to spend another hour and a half rescheduling their flight which TAP put on 12 hours later. Some folk had checked out of hotels and had to spend 12 hours at the airport. The replacement flight which left Prague at 7pm was ok, but instead of a meal the only thing offered was a glass of water. No apologies, no notifications, no explanations, third world service from a Star Alliance member. The amount of disruption and extra expense to travellers including ourselves was enormous.",A330,Couple Leisure,Economy Class,Prague to Lisbon,September 2017,4.0,1.0,1.0,1.0,,,3.0,no,Prague,Lisbon,4200
98296,Air France,8,"""staff very polite and attentive""",2016-06-23,False,"  Paris CDG to Milan Linate with Air France. The business class seat was very comfortable and the seats are configured so that the one in the middle row is free. The on-board staff has been very polite and attentive. The meal, although the flight was short, it was delicious. The only thing I did not like was the Air France lounges at the boarding zone F. It was pretty crowded and the seats did not have the power outlet to recharge the smartphone. Never seen a lounge with no electrical outlets.",A318,Solo Leisure,Business Class,CDG to LIN,April 2016,5.0,5.0,4.0,4.0,,,4.0,yes,CDG,LIN,108064
30045,Malaysia Airlines,8,Malaysia Airlines customer review,2014-12-31,False,Phnom Penh - KL - Bali on 20th Dec. Nice new Boeing plane very good inflight system with reasonable films polite crew clean plane. Food was fine given each leg was relatively short. Perfectly happy with Malaysian and will fly with them again.,,,Economy Class,,,4.0,4.0,4.0,,4.0,,3.0,yes,,,32980
88833,American Airlines,1,"""Flight was delayed""",2018-08-18,True,"  Charlotte to Palm Beach. This airline has often changed our flight times and seats. What is the point of setting up days off and meetings if the airline cannot stick to the schedule they came up with? What is the point of paying extra for a specific seat if they are going to change your seat? What is the point of only having Wi Fi entertainment if the plane has no electric plugs to keep your device powered for 7 hours? I fly several times per year from Florida to the mid west and west coast. On this particular flight the flight attendant passed my row for snacks and drinks. Flight was delayed for departure and I was hungry. I asked her for a snack when she two rows back, rather then walk back two rows she said she would come back. After landing I asked her why she did not come back and why she passed my row - she said that she got busy and tried to get my attention 5 times. I asked my wife and friend sitting next to me if she tried to get my attention and they said no. ",,Couple Leisure,Business Class,Charlotte to Palm Beach,August 2018,1.0,1.0,1.0,1.0,1.0,4.0,1.0,no,Charlotte,PalmBeach,97620
52888,Frontier Airlines,1,"""Don’t ever fly with Frontier""",2022-12-14,True," Ridiculous staff at the gate charged me $100 for a handbag. I then watched them torture a woman who’s bag fit perfectly into the carry on sizing contraption. When they said she had to pay, she took out a few items and they still made her pay. Her bag fit WELL within the guidelines and she was on the verge of tears. I wish I had the names of the ridiculous workers there. Don’t ever fly with Frontier.",,Solo Leisure,Economy Class,Oklahoma City to Denver,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,OklahomaCity,Denver,58130
61622,Delta Air Lines,8,"""the aircraft interior seemed a bit beat up """,2017-08-26,False,  Flew Delta from Seattle to New Orleans via Atlanta. I chose this flight because the aircraft was internationally configured and that made the difference. It was fine but the aircraft interior seemed a bit beat up. The service was domestic of course and ok. Crew was fine. Flight was delayed two hours but assistance rebooking connection was handled well.,Boeing 767/ Boeing 737,Solo Leisure,Business Class,Seattle to New Orleans via Atlanta,August 2017,5.0,4.0,4.0,5.0,4.0,4.0,5.0,yes,Seattle,NewOrleansviaAtlanta,67746
43620,Jetstar Airways,10,Jetstar Airways customer review,2012-12-18,False,My 75 yo father flew Jetstar domestic Adelaide to Melbourne. I arranged this flight for him online as he is blind. At the Jetstar check-in Adelaide he was charged $70 for having a near empty cabin bag that was only 4cm over length. Technically a breach of cabin baggage dimensions but he was not aware of this. Took all his spare cash to pay it so he had no cash to pay for a taxi at Melbourne airport. He is unable to use an ATM. He explained all this no consideration given no assistance offered. The attitude was take it or leave it. Will never fly them again.,,,Economy Class,,,0.0,1.0,0.0,,0.0,,2.0,no,,,47913
23836,SpiceJet,1,“a very harrowing experience”,2024-01-13,False," It was a very harrowing experience to book SpiceJet flight SG0215 on 13.01.24 which was supposed to take off at 5.15 am. We rushed to the airport late evening of 12.01.24, only to find flight was delayed multiple times. Finally it took off at 8.45 am only. Staff were least bothered about passengers convenience and they were very rude in their approach. Not even tea/coffee was offered for inordinate delay. Breakfast was given after umpteen requests from aggrieved flyers at around 7.30 pm for which we had to stand in long queue. I sincerely suggest never ever to book SpiceJet flight. This really frustrated my entire family and spoiled our holiday mood and festive fervour.",,Family Leisure,Economy Class,Chennai to Port Blair,January 2024,1.0,1.0,1.0,1.0,,,1.0,no,Chennai,PortBlair,26165
25420,Spirit Airlines,1,"""booked with Southwest instead""",2022-03-21,False,"  Spring Break with the family, travel scheduled for Saturday 3/19, 6.08pm. After multiple delays, we left the airport at 11.30pm after flight was cancelled, aircraft was available but no crew. Stayed on the phone over an hour to rebook, did not have anything for Sunday, so delayed until Monday 3/21. Flight already showing delayed at 10.00am, and already received 4 more updates so flight is now following same pattern as last Saturday. Decided to cancel this trip as I am not letting this airline ruin my family vacation, booked with Southwest instead. Will never fly Spirit again and will make sure I tell all my friends and family about how bad this airline is, I will spare you the details of their customer service and their airport crew. Anyway if you have to fly don't even think about this airline, it seems like a good idea as the price is low, but you will just be ruining your travel plans once its either delayed or cancelled.",A320,Family Leisure,Economy Class,"St louis, MO to Fort Lauderdale, FL",March 2022,1.0,1.0,,1.0,,,1.0,no,"Stlouis,MO","FortLauderdale,FL",27905
66363,Emirates,1,Emirates customer review,2015-03-28,False,Flew EK406 - Dubai to Melbourne on A380. I fly on a regular basis with Emirates. However the quality of service is exponentially going downhill. The food on this flight was terrible. Staff service was pretty poor and they weren't really interested.,,,Business Class,,,3.0,1.0,1.0,,4.0,,1.0,no,,,72943
67496,Etihad Airways,1,"""recommend never flying with Etihad""",2023-01-09,True,"  I recently flew to Abu Dhabi to compete in the World Triathlon Finals with my $7000 triathlon bicycle and gear in a separate bike box. Etihad lost my bicycle box in two airports: Frankfurt and Abu Dhabi. My bike & gear arrived 5 days late so I couldn't use it for the race. This ruined my opportunity to successfully compete for Team Canada at the World Triathlon Championships that I qualified and trained years for. This was devastating for me, as it would be for any athlete. I had to go to the airport in Abu Dhabi to find my bike box - I wasn't given any notification from Etihad staff that it was on the plane or that it had arrived. Etihad staff walked me all around the airport, bringing me to random corners to ask if different boxes looked like my bike. Anyone could have walked out with my bike if they had left it in the hallways they showed me. When I filed a complaint, Etihad offered me $50 US for the inconvenience, but their webpage was broken so I couldn't get the money. When I emailed their staff for help to receive the funds, their baggage assistance staff closed my customer complaint account! So I received no compensation for the delayed bike box and the huge stress this caused me. Secondly, the Etihad staff at the Frankfurt gate at first told me I missed my flight even though the plane was sitting there. They finally let me on after 20min of talking amongst themselves. When I walked on to the plane, someone was in my seat. I stood in the plane for about 15min while Etihad staff unsuccessfully addressed the man in my seat who wouldn't budge. So I had to sit in his seat in order to sit somewhere. I would highly recommend never flying with Etihad - the incompetence and unhelpfulness of the baggage, airport, airline, and customer complaint staff was absolutely astounding.",,Solo Leisure,Economy Class,Frankfurt to Abu Dhabi,December 2022,1.0,1.0,1.0,1.0,1.0,,1.0,no,Frankfurt,AbuDhabi,74204
82349,Alaska Airlines,6,"""Don't be rude to your frequent flyers""",2021-06-23,True,"  I fell asleep before take off in my window seat. Towards end of flight I was asked to move a bag that had been in the same spot all of the flight. My bag was under my feet under the seat. I was told my bag was blocking the isle. How? I'm in a window seat. Why was it an issue suddenly. The flight attendants were rude even after placing the bag more so in the way, in front of my seat? (where I was asked to move it) That makes more sense! Lets move the bag to where it's more in the way, to where it's more of a tripping hazard. Don't be rude to your frequent flyers.",,Solo Leisure,Economy Class,Salt Lake City to Seattle,June 2021,2.0,1.0,1.0,4.0,5.0,5.0,2.0,yes,SaltLakeCity,Seattle,90531
98291,Air France,7,"""catering was average""",2016-07-10,False,"  Both flights Stuttgart-Paris and Paris-Chicago were on time. The short-haul flight was operated by ""Cityjet for Air France"" and uneventful. The long-haul flight was operated on a quite dated A330-200, there were still ashtrays built onto the armrests and the seats were very narrow. There were individual screens, however, these were old too: small, responded slowly, and it took 1.5h and two resets until the entertainment system in the aircraft finally worked. The catering was average. We liked, however, that even in economy class you can get champagne. The flight attendants seemed genuinely friendly and did they work very well.

",Avro RJ-85 and A330-200,Business,Economy Class,STR to ORD,June 2016,2.0,4.0,3.0,4.0,2.0,,5.0,yes,STR,ORD,108059
79093,Air New Zealand,6,"""flights on this trip were late""",2023-06-30,True,"  All ANZ flights on this trip were late. This one in particular (NZ8) was delayed for an hour with no announcements, no explanation, no plan for customers who would miss connecting flights. Unacceptable. Skycouch is a nice product but super expensive at $1000 each way when occupied by one person. It works well for 2 children or an adult with 1 child but is too small for 2 adults. Food and what service there is, is the same as the rest of economy. The wifi, while free, did not work.",Boeing 777-300,Solo Leisure,Economy Class,Auckland to SanFrancisco,June 2023,4.0,3.0,3.0,1.0,4.0,1.0,2.0,no,Auckland,SanFrancisco,86981
10263,SriLankan Airlines,1,"""made my entire journey pleasant and memorable""",2019-07-20,True," I travelled to Doha from Colombo on the 17th July, UL 217. As I settled into my seat, I informed the stewardess, that I suffer from sinus problems and requested a box of tissues and a blanket. I was surprised how she catered to my request immediately. She was also proactive enough to offer me a glass of warm water. The hospitality did not end there, just before take off she also brought me a cup of lemon tea. I have been a frequent traveller for past 14 years and only experienced such service in business class. This made my entire journey pleasant and memorable.",A320,Solo Leisure,Economy Class,Colombo to Doha,July 2019,5.0,5.0,3.0,5.0,4.0,,5.0,yes,Colombo,Doha,11265
821,Vueling Airlines,2,"""change its on-board announcements""",2017-12-28,True,"  Cardiff to Malaga. As soon as the flight announcement said that flight-mode devices could be used, the sound-track of a programme blared out (music & American voices). I asked the passing staffif it was a piped radio programme; she replied that three young women a few aisles in front were watching a Kardashian programme on their laptop. I asked her if she could ask them to turn it down or to wear headphones. She asked them meekly to turn the sound down. They ignored her, so I asked her two more times. One of the women turned to stare at me smiling, while they carried on watching with the sound up. One of the trio later shouted abuse at a passenger behind her because he had accidentally pulled her pony-tail as he tried to sit back down. The staff failed to notice. To avoid noise-invasion and bad behaviour Vueling needs to change its on-board announcements to say that if passengers wish to listen to music / watch a DVD, to do so with headphones only, and to train staff to deal with noise-nuisance and abusive behaviour.",,Family Leisure,Economy Class,Cardiff to Malaga,December 2017,1.0,1.0,,3.0,,,3.0,no,Cardiff,Malaga,908
17776,United Airlines,4,"""experience overall unenjoyable""",2017-07-12,False,"  San Francisco to Frankfurt. Flight attendants were chatting loudly with each other during safety announcements. Flight attendants were obnoxiously loud throughout majority of red eye flight as passengers were trying to sleep. Our row was 2 or 3 away from the galley way yet the flight attendants were still very loud. They were unwelcoming and borderline rude during meal times. The light in the galley way was very bright and made it difficult to sleep (not sure if it was allowed to be turned off). Pilot/flying was great, but flight attendants made the experience overall unenjoyable.",Boeing 747,Family Leisure,Economy Class,San Francisco to Frankfurt,July 2017,3.0,1.0,2.0,5.0,4.0,1.0,3.0,yes,SanFrancisco,Frankfurt,19516
89756,American Airlines,7,"""wasn't that bad at all""",2016-09-26,False,"London Heathrow to Southwest Florida via Charlotte. This was a codeshare flight with BA and although a little disappointed flying with AA, it wasn't that bad at all. Clean and tidy A333 leather seats and more space than the BA equivalent. Took off on time. Individual IFE screens that were a bit temperamental  and the selection of films/TV or music was fine. Crew at the back were pleasant and efficient. Food one veggie and one meat selection and free beer or wine, then an ice cream half way across. Toilets clean, the only downside was this awful snack at the end - why waste the money give us a Mars bar or something rather some fancy coconut bacon slice. So I couldn't fault the cross Atlantic leg. CLT to RSW nice clean A321, again flight crew were efficient whipped through the plane with snacks and soft drinks ( unless you wanted to pay). During the flight had a nose bleed and the crew were great, ice tissues and care immediately. Summary all on time, good crew, clean planes, almost a completely edible inflight food. what more could you want",A330-300 / A321,Solo Leisure,Economy Class,LHR to RSW via CLT,September 2016,3.0,4.0,3.0,3.0,3.0,4.0,4.0,yes,LHR,RSWviaCLT,98648
12222,Tigerair Australia,7,Tigerair Australia customer review,2013-04-11,False,TT595 SYD-MEL 3 April 2013. Flight departed on time and arrived in MEL early. I boarded the plane towards the end and almost couldn't find any space to store my cabin luggage since all the overhead compartments were full by then. FAs were helpful but I found them quite snappy at times especially when instructing passengers to prepare for landing. Overall good value for money and impressively punctual.,,,Economy Class,,,3.0,3.0,3.0,3.0,,,5.0,yes,,,13413
63999,Egyptair,7,"""pleasantly surprised"" ",2023-10-22,True,"  After all of the horror stories on this site, I wasn't expecting much from this airline, but was pleasantly surprised. First the positives. The flight left and arrived on time. The business section is in the very common 1-2-1 configuration and the pods offer a fair amount of privacy. The seats can be fully reclined for sleeping. The FAs were attentive. Most surprisingly the food was quite good, which can not be said of their domestic flights where I was given rather dried-up sandwiches with a filling of uncertain provenance. Of course, no alcohol is served. Now the negatives. The IFE is limited. What they call international movies all come out of Hollywood. Given Egypt Air's extensive network, I had expected a much better selection of international films. No mattress or seat cover was provided for sleeping (I asked for one).",Boeing 787,Solo Leisure,Business Class,Cairo to Toronto,October 2023,5.0,4.0,4.0,3.0,2.0,,4.0,yes,Cairo,Toron,70361
24599,Spirit Airlines,1,"""Thank you Sonja""",2023-06-06,False,  I want to thank Sonja for having such a wonderful spirit. Her service and energy should be the model that all airline personnel should aspire to achieve. Thank you Sonja for making my wife and I trip to Los Angeles a memorable one. God Bless you!,,Family Leisure,Economy Class,Atlanta to Los Angeles,June 2023,4.0,5.0,1.0,5.0,,,5.0,yes,Atlanta,LosAngeles,27006
27920,Spirit Airlines,8,"""friendly and funny staff""",2016-01-29,False,"Minneapolis to Dallas with Spirit Airlines. At airport, very friendly staff. Made you smile. Enjoyable. On the plane, laughed every time flight attendant (s) gave us instructions. First flight,ever, enjoyed our flight. Yes you were a bit squished in your seat and only one bag to carry on for free (no purse) just a backpack, but the very inexpensive flight was worth packing light and bringing my own snacks. We brought an I pad with movies so flight went fast. You want to save money? Sacrifice small space and light packing. Best part was friendly and funny staff.",,Family Leisure,Economy Class,MSP to DFW,January 2016,3.0,5.0,3.0,5.0,,,4.0,yes,MSP,DFW,30661
46207,Korean Air,6,Korean Air customer review,2012-07-11,False,"Flew my family of 4 from Hong Kong to Brazil service was great all flights on time only bad experience was on our way back in LAX. I was taking a later flight to HKG while my family went to Brazil they would not allow me to check in early so I could assist my family through security with their earlier flight. With a 7 and a 1 year old this was difficult for my wife. I was holding a business class ticket back but they still would not let me check in early. I found seats in business class uncomfortable and the seat pad was short. I'm 6'2"" about 220 but while in the upright position it was uncomfortable. Good experience but the upgrade for 2k was not worth it.",,,Business Class,,,2.0,5.0,4.0,,4.0,,3.0,yes,,,50779
59504,Copa Airlines,1,"""assigned seats but not together""",2017-01-08,False,"  Panama City to San Francisco. Terribly upset with Copa Airlines. Bought our tickets at full price 6 months ago. Arrived at Panama City airport early but the lady at the counter put us on standby. When I asked why, she said we were not on standby and that the standby tag was normal procedure. We could not understand and when we asked again what was happening she would not talk to us. At the gate we were assigned seats but not together. When we arrived our bags were not on the plane. The staff is rude and inconsiderate.",,Family Leisure,Economy Class,PTY to SFO,January 2017,2.0,2.0,2.0,1.0,2.0,,1.0,no,PTY,SFO,65430
89348,American Airlines,1,"""don't care about their customers""",2017-10-23,False,"  Dallas to El Paso. The gate agent was rude and condescending. The $50 fee for checking your bags at the gate with an economy ticket is horrible. The price of the ticket isn't cheap enough to charge such expensive fees for baggage. That is especially true when other airlines have better ticket prices, service and cheaper baggage fees. What's going on with American Airlines? They don't care about their customers. The ticket agents and gate agents are rude and don't understand the meaning of customer service. Their review rating is the lowest among other airlines. I'm done with them.",,Couple Leisure,Economy Class,Dallas to El Paso,October 2017,1.0,2.0,2.0,1.0,2.0,1.0,1.0,no,Dallas,ElPaso,98202
39386,Ryanair,1,Ryanair customer review,2014-12-18,False,Have flown with Ryanair many times over the last few years at least 15 flights cancelled once due to heavy snow but very efficient at rebooking for the next day although a different airport - travel expenses refunded. Other than this no delays over a few minutes and generally time made up during the flight. Although we are not tall - 5ft 4 and 5ft 7 no problems with legroom size of seats. As long as you know the restrictions around bags size should have no problems at all - made very clear on their website.,,,Economy Class,,,4.0,5.0,5.0,,,,5.0,yes,,,43280
82521,Alaska Airlines,2,"""yelled at by 3 rude employees""",2019-04-26,True, Salt Lake City to Seattle. Within 30 seconds I walked into the airport I was yelled at by 3 rude employees. They all directed me into three different lines and could not decide which line I needed to be in. They did not accommodate the fact I had an infant and made things more difficult for me to check in. Overall I will be flying any airline but this one from now on.,,Family Leisure,Economy Class,Salt Lake City to Seattle,August 2018,1.0,1.0,2.0,1.0,1.0,1.0,1.0,no,SaltLakeCity,Seattle,90717
